datestop=5202014, pct=49, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=40-49, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=BUILDING, city=BRONX
datestop=5212014, pct=90, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=250+, haircolor=BK, eyecolor=BR, build=H, premname=STREET, city=BROOKLYN
datestop=5222014, pct=101, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=225-249, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=QUEENS
datestop=5132014, pct=9, crimsusp=CRIM TRES, typeofid=O, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=Y, sex=M, race=B, agerange=50+, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BA, eyecolor=BR, build=M, premname=LOBBY, city=MANHATTAN
datestop=5202014, pct=121, crimsusp=MISDEMEANOR, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=STATEN ISLAND
datestop=5022014, pct=42, crimsusp=MISD, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=Y, sex=M, race=B, agerange=40-49, htrange=5'0''- 5'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STAIRWELL, city=BRONX
datestop=5292014, pct=66, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=H, premname=STREET, city=BROOKLYN
datestop=5282014, pct=115, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5182014, pct=75, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5212014, pct=110, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=Y, sex=M, race=P, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BK, build=T, premname=STREET, city=QUEENS
datestop=5302014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=, city=QUEENS
datestop=5182014, pct=33, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=P, agerange=30-39, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=M, premname=, city=MANHATTAN
datestop=5212014, pct=28, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=MANHATTAN
datestop=5112014, pct=79, crimsusp=MISD, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=ROOF LANDING, city=BROOKLYN
datestop=5222014, pct=102, crimsusp=BURGLARY, typeofid=V, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=40-49, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5192014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5252014, pct=123, crimsusp=MISD, typeofid=V, arstmade=Y, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=TRAIN STATION, city=STATEN ISLAND
datestop=5212014, pct=67, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=GAS STATION PARKING LOT, city=BROOKLYN
datestop=5182014, pct=90, crimsusp=MISD, typeofid=V, arstmade=Y, offunif=N, frisked=Y, searched=N, contrabn=Y, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=BROOKLYN
datestop=5202014, pct=75, crimsusp=MISD, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=N, contrabn=Y, sex=M, race=P, agerange=30-39, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BR, eyecolor=BR, build=M, premname=LOBBY, city=BROOKLYN
datestop=5202014, pct=121, crimsusp=MISDEMEANOR, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=STATEN ISLAND
datestop=5112014, pct=73, crimsusp=FEL, typeofid=R, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BK, build=M, premname=2ND FLOOR HALLWAY, city=BROOKLYN
datestop=5062014, pct=106, crimsusp=MISD, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=40-49, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BA, eyecolor=BR, build=M, premname=CAR, city=QUEENS
datestop=5142014, pct=67, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=T, premname=, city=BROOKLYN
datestop=5212014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BR, eyecolor=BK, build=M, premname=STREET, city=QUEENS
datestop=5272014, pct=46, crimsusp=GL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=50+, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BRONX
datestop=5252014, pct=73, crimsusp=MISD, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=M, premname=SIDEWALK, city=BROOKLYN
datestop=5182014, pct=24, crimsusp=CT, typeofid=V, arstmade=Y, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=P, agerange=50+, htrange=5'5''- 5'11'', weightrange=225-249, haircolor=GY, eyecolor=BR, build=M, premname=STAIRWELL, city=MANHATTAN
datestop=5152014, pct=102, crimsusp=BURGLARY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=50+, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=RESIDENTIAL, city=QUEENS
datestop=5142014, pct=84, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=225-249, haircolor=BK, eyecolor=BR, build=H, premname=SIDEWALK, city=BROOKLYN
datestop=5192014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=I, agerange=30-39, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BK, build=M, premname=HOUSE, city=QUEENS
datestop=5182014, pct=43, crimsusp=MISD, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=T, premname=HALLWAY, city=BRONX
datestop=5202014, pct=115, crimsusp=PETIT LARCENY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=<5'0'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
